Discharge,Date
118.0,2001-01-01
123.0,2001-01-02
118.0,2001-01-03
116.0,2001-01-04
114.0,2001-01-05
111.0,2001-01-06
109.0,2001-01-07
107.0,2001-01-08
109.0,2001-01-09
106.0,2001-01-10
107.0,2001-01-11
106.0,2001-01-12
106.0,2001-01-13
105.0,2001-01-14
104.0,2001-01-15
104.0,2001-01-16
105.0,2001-01-17
101.0,2001-01-18
101.0,2001-01-19
99.8,2001-01-20
97.9,2001-01-21
97.9,2001-01-22
97.0,2001-01-23
95.5,2001-01-24
95.5,2001-01-25
94.1,2001-01-26
92.2,2001-01-27
91.8,2001-01-28
95.5,2001-01-29
98.4,2001-01-30
98.4,2001-01-31
99.3,2001-02-01
97.4,2001-02-02
95.5,2001-02-03
91.3,2001-02-04
89.9,2001-02-05
89.5,2001-02-06
87.7,2001-02-07
87.7,2001-02-08
87.3,2001-02-09
88.1,2001-02-10
89.5,2001-02-11
92.7,2001-02-12
90.4,2001-02-13
88.6,2001-02-14
87.3,2001-02-15
87.3,2001-02-16
86.4,2001-02-17
85.1,2001-02-18
83.3,2001-02-19
83.3,2001-02-20
82.0,2001-02-21
86.8,2001-02-22
85.9,2001-02-23
84.6,2001-02-24
85.5,2001-02-25
88.6,2001-02-26
88.6,2001-02-27
87.3,2001-02-28
85.9,2001-03-01
82.9,2001-03-02
80.7,2001-03-03
78.0,2001-03-04
78.0,2001-03-05
77.6,2001-03-06
76.7,2001-03-07
77.6,2001-03-08
76.3,2001-03-09
77.6,2001-03-10
75.9,2001-03-11
75.1,2001-03-12
74.3,2001-03-13
74.7,2001-03-14
76.4,2001-03-15
77.6,2001-03-16
74.3,2001-03-17
73.5,2001-03-18
73.1,2001-03-19
71.1,2001-03-20
69.5,2001-03-21
74.7,2001-03-22
74.3,2001-03-23
74.3,2001-03-24
70.7,2001-03-25
69.9,2001-03-26
71.9,2001-03-27
69.9,2001-03-28
71.9,2001-03-29
76.0,2001-03-30
75.1,2001-03-31
75.5,2001-04-01
74.3,2001-04-02
73.1,2001-04-03
70.7,2001-04-04
69.5,2001-04-05
68.7,2001-04-06
67.9,2001-04-07
68.3,2001-04-08
68.3,2001-04-09
69.1,2001-04-10
68.3,2001-04-11
68.3,2001-04-12
70.3,2001-04-13
73.5,2001-04-14
76.8,2001-04-15
80.7,2001-04-16
79.3,2001-04-17
78.0,2001-04-18
75.5,2001-04-19
82.0,2001-04-20
79.8,2001-04-21
79.3,2001-04-22
79.8,2001-04-23
84.2,2001-04-24
83.3,2001-04-25
84.6,2001-04-26
88.1,2001-04-27
91.3,2001-04-28
93.2,2001-04-29
109.0,2001-04-30
119.0,2001-05-01
134.0,2001-05-02
168.0,2001-05-03
131.0,2001-05-04
146.0,2001-05-05
123.0,2001-05-06
126.0,2001-05-07
141.0,2001-05-08
151.0,2001-05-09
160.0,2001-05-10
167.0,2001-05-11
150.0,2001-05-12
145.0,2001-05-13
157.0,2001-05-14
152.0,2001-05-15
135.0,2001-05-16
143.0,2001-05-17
133.0,2001-05-18
124.0,2001-05-19
122.0,2001-05-20
128.0,2001-05-21
123.0,2001-05-22
122.0,2001-05-23
131.0,2001-05-24
163.0,2001-05-25
167.0,2001-05-26
166.0,2001-05-27
172.0,2001-05-28
165.0,2001-05-29
176.0,2001-05-30
174.0,2001-05-31
182.0,2001-06-01
251.0,2001-06-02
377.0,2001-06-03
313.0,2001-06-04
452.0,2001-06-05
411.0,2001-06-06
344.0,2001-06-07
297.0,2001-06-08
263.0,2001-06-09
248.0,2001-06-10
288.0,2001-06-11
266.0,2001-06-12
239.0,2001-06-13
301.0,2001-06-14
295.0,2001-06-15
354.0,2001-06-16
368.0,2001-06-17
377.0,2001-06-18
403.0,2001-06-19
697.0,2001-06-20
626.0,2001-06-21
566.0,2001-06-22
803.0,2001-06-23
770.0,2001-06-24
583.0,2001-06-25
579.0,2001-06-26
736.0,2001-06-27
419.0,2001-06-28
446.0,2001-06-29
575.0,2001-06-30
656.0,2001-07-01
514.0,2001-07-02
466.0,2001-07-03
480.0,2001-07-04
560.0,2001-07-05
526.0,2001-07-06
482.0,2001-07-07
487.0,2001-07-08
419.0,2001-07-09
414.0,2001-07-10
502.0,2001-07-11
568.0,2001-07-12
518.0,2001-07-13
561.0,2001-07-14
957.0,2001-07-15
2500.0,2001-07-16
4290.0,2001-07-17
1800.0,2001-07-18
1340.0,2001-07-19
1210.0,2001-07-20
1130.0,2001-07-21
1050.0,2001-07-22
1040.0,2001-07-23
975.0,2001-07-24
898.0,2001-07-25
996.0,2001-07-26
1180.0,2001-07-27
1020.0,2001-07-28
1670.0,2001-07-29
2040.0,2001-07-30
3330.0,2001-07-31
2790.0,2001-08-01
2420.0,2001-08-02
2190.0,2001-08-03
2130.0,2001-08-04
1530.0,2001-08-05
1200.0,2001-08-06
980.0,2001-08-07
898.0,2001-08-08
976.0,2001-08-09
995.0,2001-08-10
981.0,2001-08-11
929.0,2001-08-12
1140.0,2001-08-13
1550.0,2001-08-14
1280.0,2001-08-15
1160.0,2001-08-16
1080.0,2001-08-17
1210.0,2001-08-18
2280.0,2001-08-19
2320.0,2001-08-20
2100.0,2001-08-21
2860.0,2001-08-22
5100.0,2001-08-23
4030.0,2001-08-24
3230.0,2001-08-25
2330.0,2001-08-26
2270.0,2001-08-27
2270.0,2001-08-28
2140.0,2001-08-29
2100.0,2001-08-30
1600.0,2001-08-31
1690.0,2001-09-01
2180.0,2001-09-02
2190.0,2001-09-03
1860.0,2001-09-04
2040.0,2001-09-05
1840.0,2001-09-06
1600.0,2001-09-07
1360.0,2001-09-08
1430.0,2001-09-09
1290.0,2001-09-10
1130.0,2001-09-11
961.0,2001-09-12
970.0,2001-09-13
1070.0,2001-09-14
1010.0,2001-09-15
882.0,2001-09-16
827.0,2001-09-17
757.0,2001-09-18
681.0,2001-09-19
636.0,2001-09-20
573.0,2001-09-21
553.0,2001-09-22
526.0,2001-09-23
515.0,2001-09-24
485.0,2001-09-25
474.0,2001-09-26
461.0,2001-09-27
431.0,2001-09-28
410.0,2001-09-29
403.0,2001-09-30
402.0,2001-10-01
397.0,2001-10-02
386.0,2001-10-03
397.0,2001-10-04
406.0,2001-10-05
387.0,2001-10-06
363.0,2001-10-07
357.0,2001-10-08
348.0,2001-10-09
339.0,2001-10-10
332.0,2001-10-11
321.0,2001-10-12
312.0,2001-10-13
308.0,2001-10-14
302.0,2001-10-15
291.0,2001-10-16
288.0,2001-10-17
282.0,2001-10-18
279.0,2001-10-19
272.0,2001-10-20
268.0,2001-10-21
268.0,2001-10-22
264.0,2001-10-23
260.0,2001-10-24
257.0,2001-10-25
252.0,2001-10-26
248.0,2001-10-27
246.0,2001-10-28
244.0,2001-10-29
239.0,2001-10-30
234.0,2001-10-31
232.0,2001-11-01
230.0,2001-11-02
226.0,2001-11-03
222.0,2001-11-04
222.0,2001-11-05
222.0,2001-11-06
216.0,2001-11-07
216.0,2001-11-08
213.0,2001-11-09
208.0,2001-11-10
205.0,2001-11-11
203.0,2001-11-12
198.0,2001-11-13
196.0,2001-11-14
196.0,2001-11-15
195.0,2001-11-16
194.0,2001-11-17
191.0,2001-11-18
189.0,2001-11-19
188.0,2001-11-20
185.0,2001-11-21
183.0,2001-11-22
181.0,2001-11-23
179.0,2001-11-24
177.0,2001-11-25
175.0,2001-11-26
173.0,2001-11-27
168.0,2001-11-28
163.0,2001-11-29
159.0,2001-11-30
158.0,2001-12-01
158.0,2001-12-02
157.0,2001-12-03
156.0,2001-12-04
155.0,2001-12-05
153.0,2001-12-06
151.0,2001-12-07
150.0,2001-12-08
149.0,2001-12-09
144.0,2001-12-10
143.0,2001-12-11
141.0,2001-12-12
141.0,2001-12-13
140.0,2001-12-14
138.0,2001-12-15
136.0,2001-12-16
133.0,2001-12-17
133.0,2001-12-18
131.0,2001-12-19
130.0,2001-12-20
130.0,2001-12-21
128.0,2001-12-22
125.0,2001-12-23
124.0,2001-12-24
123.0,2001-12-25
121.0,2001-12-26
120.0,2001-12-27
118.0,2001-12-28
118.0,2001-12-29
117.0,2001-12-30
117.0,2001-12-31
